time,ankle_angle_r,ankle_angle_l
8.5166667,-18.06902484,-17.95326481
8.5333333,-19.06542784,-17.95713467
8.55,-19.43602328,-17.32416226
8.5666667,-19.41147291,-16.69474638
8.5833333,-18.77432571,-14.71615968
8.6,-16.21846057,-13.24755933
8.6166667,-11.75978278,-11.55335691
8.6333333,-8.35333251,-9.93980558
8.65,-8.87847134,-8.60983042
8.6666667,-2.05887011,-8.3082344
8.6833333,-2.06146891,-8.79450444
8.7,-2.64545432,-8.39421181
8.7166667,-0.66532141,-6.94414689
8.7333333,3.00516636,-3.98352014
8.75,7.77579567,-0.23731948
8.7666667,12.1681155,3.06467888
8.7833333,14.96510676,5.42477107
8.8,16.58256465,6.46531352
8.8166667,17.24566496,7.02510249
8.8333333,16.77890383,7.88979725
8.85,15.54988225,8.38116518
8.8666667,10.88501608,7.5399446
8.8833333,2.53903228,5.69556745
8.9,-4.89745905,3.84135139
8.9166667,-11.36315251,3.47410971
8.9333333,-17.26460655,4.10542259
8.95,-22.3902172,4.92033796
8.9666667,-26.91628159,5.19957689
8.9833333,-30.56857408,4.88978793
9.0,-31.96800628,3.72537832
9.0166667,-31.91930563,1.85007489
9.0333333,-31.81773507,-1.48981102
9.05,-31.68053946,-5.3007669
9.0666667,-30.69475776,-9.70997842
9.0833333,-28.83739633,-13.32656659
9.1,-26.54965835,-15.2931986
9.1166667,-24.36971538,-14.64536108
9.1333333,-22.67789776,-11.92071203
9.15,-21.23335646,-7.93871905
9.1666667,-20.17997507,-5.23549889
9.1833333,-20.43348243,-4.06112172
9.2,-21.55115891,-4.01615373
9.2166667,-22.80933001,-4.26697763
9.2333333,-23.58260208,-3.32658409
9.25,-23.84987921,-0.36526964
9.2666667,-23.1459491,4.25166502
9.2833333,-23.21155878,8.13278972
9.3,-25.87342353,9.42937659
9.3166667,-30.47850026,8.53048034
9.3333333,-34.1533246,6.37190149
9.35,-34.96633038,3.1803046
9.3666667,-33.05749485,0.78697968
9.3833333,-29.17397518,0.78787463
9.4,-24.14278578,1.21778666
9.4166667,-18.13518709,1.43548648
9.4333333,-12.57349011,0.70198063
9.45,-8.88265234,-0.92053263
9.4666667,-7.16244708,-2.32734219
9.4833333,-6.66041902,-3.90021367
9.5,-6.39101382,-5.06106368
9.5166667,-5.73739497,-3.8989554
9.5333333,-5.08877922,-3.3060831
9.55,-4.83071074,-4.52155662
9.5666667,-4.71506217,-6.89677698
9.5833333,-4.71638632,-9.85988626
9.6,-4.39457694,-12.37600944
9.6166667,-4.44407086,-13.51742334
9.6333333,-4.67892981,-13.95481883
9.65,-5.00448874,-14.3277227
9.6666667,-5.55212434,-14.90538715
9.6833333,-6.13180241,-15.28662451
9.7,-6.88182684,-15.43516188
9.7166667,-8.35744068,-15.90005401
9.7333333,-10.38325945,-16.45538684
9.75,-12.5959961,-16.94354632
9.7666667,-14.86903419,-17.36282146
9.7833333,-16.40960412,-17.41039107
9.8,-17.23302143,-16.97905974
9.8166667,-17.72853957,-16.19036038
